mz,rt,rt1,rt2,intensity,z,pic_label,score
351.9149820025222,171.9086272509457,171.61940018082,172.39423016454,17077.7236328125,3,171.9086272509457_351.9149820025222_17077.7236328125,
446.76649226150585,174.5100191465505,171.42532769586,174.82500509169003,131212.09451293945,3,174.5100191465505_446.76649226150585_131212.09451293945,
367.2993698607684,183.66049583883785,183.47082713985,186.27920965098,49243.70947265625,2,183.66049583883785_367.2993698607684_49243.70947265625,
446.7665588067552,189.1903645942222,187.24998120213,190.45443717384,115802.44415283205,3,189.1903645942222_446.7665588067552_115802.44415283205,
364.8048244522273,188.84625581718544,188.13143316648,191.1390747204,79180.41598510742,3,188.84625581718544_364.8048244522273_79180.41598510742,
364.8047547656823,195.03519288155968,190.2600906267,195.22799412156,74170.20678710938,3,195.03519288155968_364.8047547656823_74170.20678710938,
440.8020648283621,496.52792807295646,490.08020106696,498.28374163056,407650.3310546875,2,496.52792807295646_440.8020648283621_407650.3310546875,
796.1779663288029,498.285994418176,497.44386617088,498.56367913629,817012.5546875,2,498.285994418176_796.1779663288029_817012.5546875,
357.94886207004345,503.34152118800046,499.7860596552,505.87849155807,465537.232421875,3,503.34152118800046_357.94886207004345_465537.232421875,
357.9488922211132,530.8936669769154,530.43187812708,534.23443511868,520822.396484375,3,530.8936669769154_357.9488922211132_520822.396484375,
357.94943448677793,554.5718373524089,551.6849066391001,556.95868364715,401587.2890625,3,554.5718373524089_357.94943448677793_401587.2890625,
357.9491524403713,558.3308764121755,556.95868364715,561.63313166046,419265.9697265625,3,558.3308764121755_357.9491524403713_419265.9697265625,
418.70942434326736,560.6043933072451,559.56293622396,562.2215315475601,261528.9853515625,3,560.6043933072451_418.70942434326736_261528.9853515625,
357.94885416497533,562.3772704647208,559.74256173513,566.01728812599,448110.771484375,3,562.3772704647208_357.94885416497533_448110.771484375,
357.9492439558856,576.0323180235506,573.7105746641099,577.50902811432,391746.5595703125,3,576.0323180235506_357.9492439558856_391746.5595703125,
357.94901354822565,614.5673633113901,613.68898264311,619.15113464739,373466.94921875,3,614.5673633113901_357.94901354822565_373466.94921875,
357.9487354675705,631.3461570885181,630.06077019117,634.01844958209,454110.5517578125,3,631.3461570885181_357.9487354675705_454110.5517578125,
763.1831279400672,644.6709818486445,643.8560256137699,645.8690257444499,282266.158203125,2,644.6709818486445_763.1831279400672_282266.158203125,
357.9488487945705,654.8323011543879,651.5846112146401,657.94756118202,440449.0361328125,3,654.8323011543879_357.9488487945705_440449.0361328125,
357.9483546694348,669.7949317684992,667.5418751611501,671.5417956485701,415917.58203125,3,669.7949317684992_357.9483546694348_415917.58203125,
357.9482607362069,683.6321867446583,681.0633141174301,685.17748371507,354066.3994140625,3,683.6321867446583_357.9482607362069_354066.3994140625,
418.70941411770747,727.554946499856,727.1671146526201,729.51953569794,269312.1796875,3,727.554946499856_418.70941411770747_269312.1796875,
357.9488008716162,753.751707718532,750.77149907493,757.8252132310799,456130.05224609375,3,753.751707718532_357.9488008716162_456130.05224609375,
357.9496007973987,764.6898884212662,763.30951920891,766.0991840734499,457132.64990234375,3,764.6898884212662_357.9496007973987_457132.64990234375,
357.9487624824674,778.3400177128908,777.6492851152201,779.1093001737601,452924.216796875,3,778.3400177128908_357.9487624824674_452924.216796875,
357.94919184339614,798.15728612379,797.12797156716,801.0550456418999,432166.900390625,3,798.15728612379_357.94919184339614_432166.900390625,
357.9491206716264,800.7892425661539,800.05593768501,803.17660561944,462519.97802734375,3,800.7892425661539_357.9491206716264_462519.97802734375,
357.949284254603,828.6615374883929,828.48407808687,832.0550961866401,441725.421875,3,828.6615374883929_357.949284254603_441725.421875,
418.7102075174154,837.028060906853,836.46268514538,837.43241909886,364878.85546875,3,837.028060906853_418.7102075174154_364878.85546875,
357.9489130265232,841.6551540487022,839.2744477167,844.83416310693,410765.298828125,3,841.6551540487022_357.9489130265232_410765.298828125,
357.9492247633301,848.6710959133358,844.12116114045,849.55778411772,435886.208984375,3,848.6710959133358_357.9492247633301_435886.208984375,
357.94925878961163,864.7067221422058,863.61667815588,868.9092210903,445219.7700195313,3,864.7067221422058_357.94925878961163_445219.7700195313,
357.9489285626961,931.1454833856128,930.1977305784,932.34801308058,369863.548828125,3,931.1454833856128_357.9489285626961_369863.548828125,
357.9492125197048,933.4449381930668,931.81067017461,935.53559974575,407554.26953125,3,933.4449381930668_357.9492125197048_407554.26953125,
812.2101336784862,962.4168310491934,961.3533376827302,962.7559095993,298037.333984375,3,962.4168310491934_812.2101336784862_298037.333984375,
357.94970921169784,978.549022524419,977.13776306055,978.82573715592,526484.5166015625,3,978.549022524419_357.94970921169784_526484.5166015625,
357.94910386634115,980.1100225500512,978.82573715592,982.86635617161,463418.671875,3,980.1100225500512_357.94910386634115_463418.671875,
357.948991013565,983.64645303878,981.33624509715,986.39039222145,446884.3544921875,3,983.64645303878_357.948991013565_446884.3544921875,
357.9491433697614,990.053106255958,986.39039222145,992.56488922977,508059.6044921875,3,990.053106255958_357.9491433697614_508059.6044921875,
418.7107068243533,989.2594229240448,988.71177259827,992.33513966943,293059.6171875,3,989.2594229240448_418.7107068243533_293059.6171875,
383.8638927778261,998.688941207978,998.05280963325,1000.81837812804,218660.37890625,3,998.688941207978_383.8638927778261_218660.37890625,
357.9489641005431,1001.2971830399453,999.84108761691,1005.36437062167,451380.6635742188,3,1001.2971830399453_357.9489641005431_451380.6635742188,
357.9487022634043,1007.2360493270826,1005.36437062167,1009.16413060569,433925.97265625,3,1007.2360493270826_357.9487022634043_433925.97265625,
357.948973327366,1011.900980017726,1008.75453606987,1013.99686113741,446665.7114257813,3,1011.900980017726_357.948973327366_446665.7114257813,
357.94896370972344,1014.2305465229445,1013.537132658,1016.93482355022,463508.025390625,3,1014.2305465229445_357.94896370972344_463508.025390625,
357.9495262556791,1017.8333538300272,1016.24551514532,1019.78916362667,444650.9072265625,3,1017.8333538300272_357.9495262556791_444650.9072265625,
357.9492323720158,1029.9508162164473,1029.67163518812,1034.11156717683,411772.67578125,3,1029.9508162164473_357.9492323720158_411772.67578125,
383.8643127607202,1044.876353487446,1043.6304390802202,1045.13858906175,319168.640625,3,1044.876353487446_383.8643127607202_319168.640625,
357.9490430156532,1051.9745877042087,1048.00522521879,1054.33007267856,452672.568359375,3,1051.9745877042087_357.9490430156532_452672.568359375,
357.9490445682709,1056.3706860904467,1054.33007267856,1057.65163616085,405698.5341796875,3,1056.3706860904467_357.9490445682709_405698.5341796875,
357.94935763422,1064.5661288507708,1063.90515962982,1067.35415557767,421309.951171875,3,1064.5661288507708_357.94935763422_421309.951171875,
357.94913421412883,1117.9881819083807,1116.73970667267,1119.36789862062,383703.919921875,3,1117.9881819083807_357.94913421412883_383703.919921875,
357.9488134766008,1120.3595500161252,1118.75664023304,1121.61436609173,386682.1806640625,3,1120.3595500161252_357.9488134766008_386682.1806640625,
357.9491197636689,1122.6320322739873,1121.61436609173,1125.0123086347498,330527.3388671875,3,1122.6320322739873_357.9491197636689_330527.3388671875,
357.9489517041921,1126.3399542764205,1123.53318265821,1126.56837622071,410471.927734375,3,1126.3399542764205_357.9489517041921_410471.927734375,
796.1868369050268,1134.83076796309,1134.5218255891798,1136.18215814973,725124.6650390625,2,1134.83076796309_796.1868369050268_725124.6650390625,
418.70999244132855,1166.4550563521266,1166.19031707192,1167.3731881752,230768.0546875,3,1166.4550563521266_418.70999244132855_230768.0546875,
418.710103787142,1177.9999729865756,1177.73301617052,1178.99339214705,208244.119140625,3,1177.9999729865756_418.710103787142_208244.119140625,
357.9494265629436,1181.1098981317436,1180.63797310731,1182.08128563309,383593.4682617188,3,1181.1098981317436_357.9494265629436_383593.4682617188,
357.94921297942204,1194.120357170777,1192.71080116176,1196.59347657108,290383.228515625,3,1194.120357170777_357.94921297942204_290383.228515625,
496.874130735796,1200.5887643953326,1198.20723859215,1205.05200258636,622275.8776855469,3,1200.5887643953326_496.874130735796_622275.8776855469,
357.9491500283315,1207.4167453767316,1205.82250753785,1208.49194113161,334351.68310546875,3,1207.4167453767316_357.9491500283315_334351.68310546875,
388.7131116511601,1211.068069624445,1209.98509816074,1211.24908856295,151413.84375,3,1211.068069624445_388.7131116511601_151413.84375,
388.7133187699353,1213.38684108012,1212.71417108916,1214.36171225454,201646.1181640625,3,1213.38684108012_388.7133187699353_201646.1181640625,
357.9488653390979,1230.4840115991874,1229.05139771844,1232.47323469065,364466.1328125,3,1230.4840115991874_357.9488653390979_364466.1328125,
540.785948229087,1253.465338336064,1252.23244205856,1253.6401996984496,1249236.046875,3,1253.465338336064_540.785948229087_1249236.046875,
414.8400130218903,1274.580385722253,1274.4073306694102,1275.9913967027703,586929.259765625,3,1274.580385722253_414.8400130218903_586929.259765625,
350.82481957765435,1275.639189587805,1275.4633276834502,1276.51938370608,329067.7890625,3,1275.639189587805_350.82481957765435_329067.7890625,
545.7518479394563,1277.966930670409,1276.87144211676,1282.1541866436,597635.712890625,2,1277.966930670409_545.7518479394563_597635.712890625,
350.8251640258973,1282.245028619391,1281.32359866048,1282.5061720981803,328435.9375,3,1282.245028619391_350.8251640258973_328435.9375,
414.839235782757,1284.5611858614027,1282.8584036006998,1284.9718966855798,357565.375,3,1284.5611858614027_414.839235782757_357565.375,
545.7516104102947,1283.707176837658,1278.90835765743,1284.9718966855798,741012.9921875,2,1283.707176837658_545.7516104102947_741012.9921875,
366.1875975257388,1289.4265704983843,1288.06635157014,1291.08765510462,447479.4375,3,1289.4265704983843_366.1875975257388_447479.4375,
482.7531461324119,1290.8341513015946,1286.95999661826,1295.55898765467,2407344.1174316406,2,1290.8341513015946_482.7531461324119_2407344.1174316406,
396.76504243335626,1292.3982394961165,1290.91109661006,1293.68914214517,760519.6953125,3,1292.3982394961165_396.76504243335626_760519.6953125,
366.18806122831495,1293.1807403489736,1290.73453012848,1295.91309956457,892689.7841796875,3,1293.1807403489736_366.18806122831495_892689.7841796875,
582.2627518980356,1293.6916765043825,1287.71435657883,1295.3316631689,856238.3168945312,2,1293.6916765043825_582.2627518980356_856238.3168945312,
373.18274725657744,1296.7054378443115,1291.846183218,1298.56678871061,999633.181274414,2,1296.7054378443115_373.18274725657744_999633.181274414,
360.2435878961112,1296.8967403286736,1296.62171415234,1297.73274616146,218026.09765625,2,1296.8967403286736_360.2435878961112_218026.09765625,
593.2538231532475,1296.9797770967766,1296.62171415234,1298.28887573625,515236.82421875,2,1296.9797770967766_593.2538231532475_515236.82421875,
593.2538305892928,1300.1285499025023,1298.28887573625,1302.94834820175,679659.9921875,2,1300.1285499025023_593.2538305892928_679659.9921875,
496.72783529524224,1299.0329322518178,1295.05387417221,1302.94834820175,1012720.3677978516,2,1299.0329322518178_496.72783529524224_1012720.3677978516,
582.262976208653,1299.8742771613329,1294.8261856212598,1304.4940060749,1799566.126953125,2,1299.8742771613329_582.262976208653_1799566.126953125,
386.87398911249016,1300.5837785067145,1296.62171415234,1304.4940060749,993411.4541015624,3,1300.5837785067145_386.87398911249016_993411.4541015624,
373.71108479434446,1304.0567631641013,1302.51766017819,1307.28918758772,628979.8544921875,2,1304.0567631641013_373.71108479434446_628979.8544921875,
367.86336043705,1302.208738610148,1294.8261856212598,1308.83351913834,1113716.8569335938,3,1302.208738610148_367.86336043705_1113716.8569335938,
510.77601433964736,1302.7319588678026,1299.1227016821,1310.68585566426,1185579.9599609375,2,1302.7319588678026_510.77601433964736_1185579.9599609375,
524.2622694568487,1309.098870332863,1305.6124700679602,1309.92235819245,419147.4951171875,2,1309.098870332863_524.2622694568487_419147.4951171875,
358.8637838028307,1309.518157428221,1307.94804862878,1311.27191761875,366779.3168945313,3,1309.518157428221_358.8637838028307_366779.3168945313,
373.1825940222331,1312.2691329123,1297.73274616146,1321.68787363911,1696218.3557128906,2,1312.2691329123_373.1825940222331_1696218.3557128906,
381.6900586887432,1310.7002099908752,1307.28918758772,1311.27191761875,282672.572265625,3,1310.7002099908752_381.6900586887432_282672.572265625,
449.198680092377,1309.6920656779105,1307.28918758772,1312.41034618761,641648.4956054688,2,1309.6920656779105_449.198680092377_641648.4956054688,
438.20859483333567,1310.1382312706376,1302.51766017819,1313.37239424132,1310825.5302734375,2,1310.1382312706376_438.20859483333567_1310825.5302734375,
475.7299803535229,1312.2264621446666,1307.94804862878,1318.08712867641,1009462.49609375,2,1312.2264621446666_475.7299803535229_1009462.49609375,
510.7756338785121,1313.310340886754,1309.6943281068902,1317.25227919959,1281432.3432617188,2,1313.310340886754_510.7756338785121_1281432.3432617188,
514.1788321248447,1314.8715258388656,1314.53654865168,1320.06102970983,418948.3896484375,2,1314.8715258388656_514.1788321248447_418948.3896484375,
458.2838750373585,1316.0055819346112,1310.68585566426,1319.1246161832898,619021.6220703125,2,1316.0055819346112_458.2838750373585_619021.6220703125,
516.7845054791181,1315.7164352116272,1312.73948267841,1320.06102970983,888583.810546875,2,1315.7164352116272_516.7845054791181_888583.810546875,
